date,mean_percent,median_percent,max_amount,count
2018-07-23,18.557910303291784,19.99494438827098,173.0,76884
2018-07-24,18.60734642579714,19.995300751879697,156.0,76588
2018-07-25,18.67402158411319,19.995355318160705,224.82,72796
2018-07-26,18.589523295576722,19.99506903353057,152.0,70076
2018-07-27,18.519907708644332,19.994879672299028,190.0,68746
2018-07-28,18.374122015001003,19.99643239386372,171.0,83671
2018-07-29,18.262502651938334,19.994529540481402,360.56,92920
2018-07-30,18.510086414145665,19.994675186368475,190.0,77856
2018-07-31,18.517024375506185,19.99512907939601,189.0,77792
2018-08-01,18.47112859801802,19.99512907939601,172.0,78040
2018-08-02,18.518470999444066,19.99506903353057,200.0,70503
2018-08-03,18.31828172453919,19.994675186368475,159.0,70776
2018-08-04,18.255400580726285,19.996584699453553,280.0,77803
2018-08-05,18.26654520253755,19.99437570303712,222.29,91077
2018-08-06,18.50280288431746,19.994813278008298,188.0,80206
2018-08-07,18.504865360555186,19.995408631772268,174.0,78274
2018-08-08,18.57615573256869,19.995300751879697,300.0,78885
2018-08-09,18.47230080681321,19.99506903353057,322.27,72779
2018-08-10,18.325267222622188,19.99437570303712,100.0,74631
2018-08-11,18.27758184621073,19.996584699453553,225.0,73503
2018-08-12,18.316909670447544,19.994813278008298,271.33,82876
2018-08-13,18.424420638590096,19.994879672299028,119.0,74670
2018-08-14,18.529849796737118,19.99579478553406,100.0,73105
2018-08-15,18.483748726253243,19.99506903353057,100.0,80890
2018-08-16,18.47256132196198,19.99506903353057,180.14,75768
2018-08-17,18.3505178855127,19.99474513925381,78.0,74525
2018-08-18,18.36042166807069,19.996584699453553,200.0,76610
2018-08-19,18.238719977992783,19.994603345925523,202.0,80888
2018-08-20,18.42253586414988,19.994813278008298,100.0,75851
2018-08-21,18.49905786810621,19.994295493439814,97.32,86400
2018-08-22,18.513461801942164,19.99518768046199,70.8,82367
2018-08-23,18.426669493601803,19.99512907939601,110.08,76996
2018-08-24,18.31190644373149,19.994813278008298,70.0,73061
2018-08-25,18.276551928068294,19.996584699453553,158.0,80534
2018-08-26,18.228950315014846,19.994603345925523,114.0,86921
2018-08-27,18.36529104049346,19.994603345925523,91.0,76536
2018-08-28,18.428729512939306,19.995300751879697,67.44,75543
